Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,824.8,2024-09-03 05:30:00,825.95,816.4,2024-09,822.15,10548350,2024-09-03,2024-09
BAJFINANCE,7353.8,2024-09-03 05:30:00,7460.0,7206.1,2024-09,7460.0,1898656,2024-09-03,2024-09
TITAN,3621.15,2024-09-03 05:30:00,3634.9,3560.15,2024-09,3587.55,1112614,2024-09-03,2024-09
ITC,509.4,2024-09-03 05:30:00,515.95,507.9,2024-09,510.05,12018677,2024-09-03,2024-09
TCS,4512.35,2024-09-03 05:30:00,4555.9,4495.9,2024-09,4521.05,1717263,2024-09-03,2024-09
LT,3690.15,2024-09-03 05:30:00,3713.95,3666.9,2024-09,3693.95,1211993,2024-09-03,2024-09
TATACONSUM,1199.0,2024-09-03 05:30:00,1218.35,1196.3,2024-09,1209.0,1884428,2024-09-03,2024-09
RELIANCE,1509.13,2024-09-03 05:30:00,1523.0,1507.5,2024-09,1521.25,10923800,2024-09-03,2024-09
HCLTECH,1790.45,2024-09-03 05:30:00,1817.15,1787.05,2024-09,1806.0,2553290,2024-09-03,2024-09
JSWSTEEL,930.95,2024-09-03 05:30:00,941.55,929.95,2024-09,937.1,1116938,2024-09-03,2024-09
ULTRACEMCO,11460.8,2024-09-03 05:30:00,11504.05,11361.0,2024-09,11434.5,181723,2024-09-03,2024-09
POWERGRID,334.65,2024-09-03 05:30:00,337.95,334.0,2024-09,336.0,8434423,2024-09-03,2024-09
INFY,1941.25,2024-09-03 05:30:00,1967.0,1936.45,2024-09,1967.0,4694322,2024-09-03,2024-09
TRENT,7042.8,2024-09-03 05:30:00,7180.0,6995.0,2024-09,7179.0,857908,2024-09-03,2024-09
BHARTIARTL,1560.6,2024-09-03 05:30:00,1579.0,1558.6,2024-09,1579.0,4546295,2024-09-03,2024-09
TATAMOTORS,1085.1,2024-09-03 05:30:00,1100.0,1082.2,2024-09,1097.6,5088731,2024-09-03,2024-09
WIPRO,536.05,2024-09-03 05:30:00,540.85,529.5,2024-09,533.0,7528343,2024-09-03,2024-09
TECHM,1644.1,2024-09-03 05:30:00,1659.25,1632.1,2024-09,1639.0,1739553,2024-09-03,2024-09
NTPC,406.4,2024-09-03 05:30:00,411.55,405.6,2024-09,410.5,7538160,2024-09-03,2024-09
HINDUNILVR,2794.3,2024-09-03 05:30:00,2827.95,2775.0,2024-09,2780.0,2022116,2024-09-03,2024-09
APOLLOHOSP,6844.85,2024-09-03 05:30:00,6925.8,6834.45,2024-09,6890.95,361990,2024-09-03,2024-09
M&M,2784.85,2024-09-03 05:30:00,2798.1,2772.6,2024-09,2780.0,1592710,2024-09-03,2024-09
GRASIM,2706.85,2024-09-03 05:30:00,2710.0,2680.1,2024-09,2680.1,522391,2024-09-03,2024-09
ICICIBANK,1247.7,2024-09-03 05:30:00,1250.95,1220.4,2024-09,1227.2,19114907,2024-09-03,2024-09
ADANIENT,3036.1,2024-09-03 05:30:00,3053.05,3023.8,2024-09,3037.0,1371577,2024-09-03,2024-09
ADANIPORTS,1479.55,2024-09-03 05:30:00,1498.1,1476.6,2024-09,1494.5,882478,2024-09-03,2024-09
BEL,297.15,2024-09-03 05:30:00,301.35,296.75,2024-09,300.0,13971488,2024-09-03,2024-09
BAJAJFINSV,1865.6,2024-09-03 05:30:00,1870.95,1811.95,2024-09,1850.0,4429269,2024-09-03,2024-09
EICHERMOT,4865.8,2024-09-03 05:30:00,4940.0,4856.05,2024-09,4923.95,263404,2024-09-03,2024-09
COALINDIA,519.6,2024-09-03 05:30:00,523.6,518.25,2024-09,521.0,5526155,2024-09-03,2024-09
MARUTI,12397.1,2024-09-03 05:30:00,12474.3,12359.9,2024-09,12474.0,445514,2024-09-03,2024-09
INDUSINDBK,1436.7,2024-09-03 05:30:00,1451.9,1433.9,2024-09,1450.0,2351018,2024-09-03,2024-09
ASIANPAINT,3154.85,2024-09-03 05:30:00,3174.55,3147.5,2024-09,3164.95,577471,2024-09-03,2024-09
TATASTEEL,152.15,2024-09-03 05:30:00,153.45,152.01,2024-09,152.84,19780066,2024-09-03,2024-09
