Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,581.3,2023-11-12 05:30:00,584.75,580.1,2023-11,584.75,1947722,2023-11-12,2023-11
BAJFINANCE,7456.9,2023-11-12 05:30:00,7498.0,7447.05,2023-11,7470.05,79745,2023-11-12,2023-11
TITAN,3280.6,2023-11-12 05:30:00,3320.0,3265.0,2023-11,3300.0,204514,2023-11-12,2023-11
ITC,438.45,2023-11-12 05:30:00,439.2,438.0,2023-11,438.85,1181310,2023-11-12,2023-11
TCS,3357.3,2023-11-12 05:30:00,3359.0,3345.0,2023-11,3350.0,173346,2023-11-12,2023-11
LT,3052.0,2023-11-12 05:30:00,3060.0,3044.0,2023-11,3054.95,256389,2023-11-12,2023-11
TATACONSUM,904.06,2023-11-12 05:30:00,910.68,902.78,2023-11,910.68,155860,2023-11-12,2023-11
RELIANCE,1165.33,2023-11-12 05:30:00,1166.0,1161.25,2023-11,1163.03,1419844,2023-11-12,2023-11
HCLTECH,1260.2,2023-11-12 05:30:00,1265.45,1256.35,2023-11,1265.0,132650,2023-11-12,2023-11
JSWSTEEL,756.55,2023-11-12 05:30:00,761.0,753.0,2023-11,760.0,133415,2023-11-12,2023-11
ULTRACEMCO,8711.1,2023-11-12 05:30:00,8745.0,8678.35,2023-11,8730.0,13691,2023-11-12,2023-11
POWERGRID,212.0,2023-11-12 05:30:00,213.7,211.7,2023-11,213.6,1008214,2023-11-12,2023-11
INFY,1388.2,2023-11-12 05:30:00,1389.1,1380.05,2023-11,1380.05,572298,2023-11-12,2023-11
TRENT,2494.25,2023-11-12 05:30:00,2515.0,2491.15,2023-11,2510.2,75038,2023-11-12,2023-11
BHARTIARTL,938.0,2023-11-12 05:30:00,940.0,933.0,2023-11,940.0,174810,2023-11-12,2023-11
TATAMOTORS,653.55,2023-11-12 05:30:00,657.95,652.4,2023-11,657.95,2245583,2023-11-12,2023-11
WIPRO,382.45,2023-11-12 05:30:00,383.4,381.45,2023-11,383.4,1011662,2023-11-12,2023-11
