Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,811.65,2024-08-05 05:30:00,831.35,800.0,2024-08,830.0,27676951,2024-08-05,2024-08
BAJFINANCE,6596.7,2024-08-05 05:30:00,6650.0,6532.6,2024-08,6650.0,944041,2024-08-05,2024-08
TITAN,3375.95,2024-08-05 05:30:00,3459.0,3316.5,2024-08,3320.05,1932064,2024-08-05,2024-08
ITC,486.0,2024-08-05 05:30:00,491.9,479.55,2024-08,480.05,24094139,2024-08-05,2024-08
TCS,4155.05,2024-08-05 05:30:00,4239.0,4110.5,2024-08,4239.0,2787771,2024-08-05,2024-08
LT,3528.0,2024-08-05 05:30:00,3607.9,3511.5,2024-08,3597.0,2900685,2024-08-05,2024-08
TATACONSUM,1199.4,2024-08-05 05:30:00,1213.6,1151.0,2024-08,1176.0,3718458,2024-08-05,2024-08
RELIANCE,1447.33,2024-08-05 05:30:00,1483.9,1433.25,2024-08,1480.0,17046704,2024-08-05,2024-08
HCLTECH,1562.4,2024-08-05 05:30:00,1595.7,1537.0,2024-08,1575.0,3279717,2024-08-05,2024-08
JSWSTEEL,863.8,2024-08-05 05:30:00,884.0,854.15,2024-08,884.0,4059902,2024-08-05,2024-08
ULTRACEMCO,11417.25,2024-08-05 05:30:00,11700.0,11351.2,2024-08,11700.0,400844,2024-08-05,2024-08
POWERGRID,342.8,2024-08-05 05:30:00,354.8,341.5,2024-08,352.75,13566586,2024-08-05,2024-08
INFY,1751.9,2024-08-05 05:30:00,1797.5,1718.55,2024-08,1784.95,10736703,2024-08-05,2024-08
TRENT,5346.9,2024-08-05 05:30:00,5424.35,5226.05,2024-08,5360.0,1074769,2024-08-05,2024-08
BHARTIARTL,1465.7,2024-08-05 05:30:00,1488.0,1451.5,2024-08,1482.0,5111901,2024-08-05,2024-08
TATAMOTORS,1016.45,2024-08-05 05:30:00,1065.0,1014.05,2024-08,1059.95,26651144,2024-08-05,2024-08
WIPRO,485.0,2024-08-05 05:30:00,495.85,480.25,2024-08,490.0,10969040,2024-08-05,2024-08
TECHM,1456.35,2024-08-05 05:30:00,1484.25,1426.75,2024-08,1470.0,2186582,2024-08-05,2024-08
NTPC,413.25,2024-08-05 05:30:00,415.65,404.65,2024-08,407.65,42489503,2024-08-05,2024-08
HINDUNILVR,2715.9,2024-08-05 05:30:00,2742.0,2666.2,2024-08,2675.95,3118731,2024-08-05,2024-08
APOLLOHOSP,6687.6,2024-08-05 05:30:00,6756.5,6600.05,2024-08,6689.0,907845,2024-08-05,2024-08
M&M,2678.95,2024-08-05 05:30:00,2729.2,2635.8,2024-08,2679.65,3731770,2024-08-05,2024-08
GRASIM,2612.25,2024-08-05 05:30:00,2678.95,2587.75,2024-08,2655.15,1049292,2024-08-05,2024-08
ICICIBANK,1172.6,2024-08-05 05:30:00,1188.9,1167.0,2024-08,1182.0,14306771,2024-08-05,2024-08
ADANIENT,3038.2,2024-08-05 05:30:00,3133.05,2996.3,2024-08,3085.0,2238921,2024-08-05,2024-08
ADANIPORTS,1493.85,2024-08-05 05:30:00,1563.45,1471.55,2024-08,1540.0,7147230,2024-08-05,2024-08
BEL,290.25,2024-08-05 05:30:00,297.45,285.0,2024-08,289.85,50390560,2024-08-05,2024-08
BAJAJFINSV,1567.7,2024-08-05 05:30:00,1605.0,1562.0,2024-08,1590.0,2058076,2024-08-05,2024-08
EICHERMOT,4675.75,2024-08-05 05:30:00,4693.35,4555.0,2024-08,4612.15,946316,2024-08-05,2024-08
COALINDIA,506.8,2024-08-05 05:30:00,515.0,497.55,2024-08,515.0,11835031,2024-08-05,2024-08
MARUTI,12200.85,2024-08-05 05:30:00,12490.0,12027.65,2024-08,12490.0,1131415,2024-08-05,2024-08
INDUSINDBK,1389.45,2024-08-05 05:30:00,1396.2,1369.0,2024-08,1388.0,3532894,2024-08-05,2024-08
ASIANPAINT,3093.4,2024-08-05 05:30:00,3145.0,3055.3,2024-08,3069.95,2019141,2024-08-05,2024-08
TATASTEEL,149.82,2024-08-05 05:30:00,154.0,149.0,2024-08,153.66,102883971,2024-08-05,2024-08
HDFCLIFE,710.9,2024-08-05 05:30:00,713.9,690.05,2024-08,693.0,9327217,2024-08-05,2024-08
DRREDDY,1362.41,2024-08-05 05:30:00,1392.2,1358.8,2024-08,1386.02,2186945,2024-08-05,2024-08
SUNPHARMA,1720.35,2024-08-05 05:30:00,1758.0,1715.0,2024-08,1725.0,5165558,2024-08-05,2024-08
KOTAKBANK,1773.65,2024-08-05 05:30:00,1805.6,1768.55,2024-08,1770.2,4911818,2024-08-05,2024-08
SHRIRAMFIN,2891.45,2024-08-05 05:30:00,2941.85,2808.1,2024-08,2876.0,1896088,2024-08-05,2024-08
NESTLEIND,2510.9,2024-08-05 05:30:00,2528.9,2475.05,2024-08,2488.0,1325910,2024-08-05,2024-08
ONGC,310.25,2024-08-05 05:30:00,323.3,306.0,2024-08,320.35,37986023,2024-08-05,2024-08
CIPLA,1515.05,2024-08-05 05:30:00,1527.95,1472.0,2024-08,1472.0,1719770,2024-08-05,2024-08
BPCL,341.7,2024-08-05 05:30:00,346.95,334.4,2024-08,342.0,23868328,2024-08-05,2024-08
BRITANNIA,5697.9,2024-08-05 05:30:00,5842.95,5650.05,2024-08,5709.95,1114298,2024-08-05,2024-08
