Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,816.95,2024-06-06 05:30:00,833.35,796.0,2024-06,800.0,40555649,2024-06-06,2024-06
BAJFINANCE,6925.8,2024-06-06 05:30:00,7012.95,6822.3,2024-06,6850.0,1465716,2024-06-06,2024-06
TITAN,3321.65,2024-06-06 05:30:00,3360.0,3290.75,2024-06,3329.0,1825503,2024-06-06,2024-06
ITC,435.4,2024-06-06 05:30:00,437.7,431.1,2024-06,436.0,31119999,2024-06-06,2024-06
TCS,3830.4,2024-06-06 05:30:00,3839.9,3741.5,2024-06,3781.0,4328036,2024-06-06,2024-06
LT,3482.55,2024-06-06 05:30:00,3538.2,3385.3,2024-06,3438.0,8374602,2024-06-06,2024-06
TATACONSUM,1125.91,2024-06-06 05:30:00,1133.91,1105.85,2024-06,1133.91,2622540,2024-06-06,2024-06
RELIANCE,1431.6,2024-06-06 05:30:00,1443.7,1421.35,2024-06,1435.0,17855722,2024-06-06,2024-06
HCLTECH,1397.5,2024-06-06 05:30:00,1399.8,1350.9,2024-06,1354.0,5936709,2024-06-06,2024-06
JSWSTEEL,888.1,2024-06-06 05:30:00,892.9,877.5,2024-06,884.0,3095781,2024-06-06,2024-06
ULTRACEMCO,10054.95,2024-06-06 05:30:00,10176.5,9931.1,2024-06,9995.0,483566,2024-06-06,2024-06
POWERGRID,300.45,2024-06-06 05:30:00,311.45,298.1,2024-06,303.4,36508044,2024-06-06,2024-06
INFY,1472.25,2024-06-06 05:30:00,1474.3,1437.5,2024-06,1444.95,12660930,2024-06-06,2024-06
TRENT,4878.45,2024-06-06 05:30:00,4928.6,4821.05,2024-06,4910.05,512601,2024-06-06,2024-06
BHARTIARTL,1370.6,2024-06-06 05:30:00,1376.25,1329.0,2024-06,1359.0,10279789,2024-06-06,2024-06
TATAMOTORS,938.25,2024-06-06 05:30:00,946.0,931.2,2024-06,940.0,11792640,2024-06-06,2024-06
WIPRO,461.0,2024-06-06 05:30:00,462.0,452.6,2024-06,454.95,7712784,2024-06-06,2024-06
TECHM,1317.45,2024-06-06 05:30:00,1323.6,1274.2,2024-06,1285.0,3205121,2024-06-06,2024-06
NTPC,349.75,2024-06-06 05:30:00,359.75,345.0,2024-06,347.8,33171039,2024-06-06,2024-06
HINDUNILVR,2549.6,2024-06-06 05:30:00,2600.0,2518.0,2024-06,2600.0,4102547,2024-06-06,2024-06
APOLLOHOSP,5962.0,2024-06-06 05:30:00,5975.0,5900.0,2024-06,5970.0,490549,2024-06-06,2024-06
M&M,2699.85,2024-06-06 05:30:00,2761.9,2670.9,2024-06,2745.0,4992660,2024-06-06,2024-06
GRASIM,2334.75,2024-06-06 05:30:00,2353.0,2293.1,2024-06,2306.05,834320,2024-06-06,2024-06
ICICIBANK,1110.4,2024-06-06 05:30:00,1118.0,1096.6,2024-06,1118.0,18574162,2024-06-06,2024-06
ADANIENT,3185.65,2024-06-06 05:30:00,3222.4,3137.15,2024-06,3184.0,5873271,2024-06-06,2024-06
ADANIPORTS,1352.95,2024-06-06 05:30:00,1404.0,1344.8,2024-06,1384.0,12153840,2024-06-06,2024-06
BEL,273.65,2024-06-06 05:30:00,281.5,267.0,2024-06,267.0,95502477,2024-06-06,2024-06
BAJAJFINSV,1526.45,2024-06-06 05:30:00,1541.5,1510.8,2024-06,1521.5,2891789,2024-06-06,2024-06
EICHERMOT,4719.75,2024-06-06 05:30:00,4727.0,4538.3,2024-06,4579.0,748915,2024-06-06,2024-06
COALINDIA,472.95,2024-06-06 05:30:00,484.4,464.65,2024-06,470.0,21757857,2024-06-06,2024-06
MARUTI,12673.5,2024-06-06 05:30:00,12690.0,12468.0,2024-06,12511.55,447536,2024-06-06,2024-06
INDUSINDBK,1481.1,2024-06-06 05:30:00,1509.8,1470.9,2024-06,1500.0,3279775,2024-06-06,2024-06
ASIANPAINT,2904.8,2024-06-06 05:30:00,2961.75,2882.25,2024-06,2960.0,1689408,2024-06-06,2024-06
