Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,820.3,2024-05-15 05:30:00,825.3,818.05,2024-05,821.0,9755062,2024-05-15,2024-05
BAJFINANCE,6680.0,2024-05-15 05:30:00,6731.95,6645.05,2024-05,6692.0,595059,2024-05-15,2024-05
TITAN,3268.55,2024-05-15 05:30:00,3306.45,3260.0,2024-05,3304.0,657036,2024-05-15,2024-05
ITC,427.8,2024-05-15 05:30:00,433.25,426.75,2024-05,430.75,7565080,2024-05-15,2024-05
TCS,3880.4,2024-05-15 05:30:00,3926.95,3875.5,2024-05,3904.5,1115021,2024-05-15,2024-05
LT,3411.3,2024-05-15 05:30:00,3417.4,3353.15,2024-05,3390.0,2718682,2024-05-15,2024-05
TATACONSUM,1055.78,2024-05-15 05:30:00,1077.46,1043.04,2024-05,1072.67,1896508,2024-05-15,2024-05
RELIANCE,1416.28,2024-05-15 05:30:00,1429.98,1413.03,2024-05,1420.5,5046534,2024-05-15,2024-05
HCLTECH,1332.9,2024-05-15 05:30:00,1340.3,1318.25,2024-05,1319.25,2975965,2024-05-15,2024-05
JSWSTEEL,870.95,2024-05-15 05:30:00,883.5,863.4,2024-05,882.0,2194086,2024-05-15,2024-05
ULTRACEMCO,9614.1,2024-05-15 05:30:00,9693.15,9560.0,2024-05,9691.0,161067,2024-05-15,2024-05
POWERGRID,314.85,2024-05-15 05:30:00,316.3,308.85,2024-05,310.0,11397656,2024-05-15,2024-05
INFY,1419.95,2024-05-15 05:30:00,1431.8,1418.55,2024-05,1426.0,4327544,2024-05-15,2024-05
TRENT,4527.0,2024-05-15 05:30:00,4579.5,4509.2,2024-05,4550.0,413777,2024-05-15,2024-05
BHARTIARTL,1309.9,2024-05-15 05:30:00,1318.25,1280.5,2024-05,1281.55,6891004,2024-05-15,2024-05
TATAMOTORS,947.3,2024-05-15 05:30:00,972.95,945.1,2024-05,970.95,19668239,2024-05-15,2024-05
WIPRO,458.3,2024-05-15 05:30:00,459.75,454.65,2024-05,456.35,2396712,2024-05-15,2024-05
TECHM,1274.5,2024-05-15 05:30:00,1282.95,1265.0,2024-05,1275.0,1008105,2024-05-15,2024-05
NTPC,361.35,2024-05-15 05:30:00,363.5,356.65,2024-05,357.5,8538183,2024-05-15,2024-05
HINDUNILVR,2323.3,2024-05-15 05:30:00,2355.8,2317.65,2024-05,2349.55,812282,2024-05-15,2024-05
APOLLOHOSP,5848.8,2024-05-15 05:30:00,5883.45,5820.0,2024-05,5869.95,509306,2024-05-15,2024-05
M&M,2302.3,2024-05-15 05:30:00,2317.15,2256.0,2024-05,2281.3,2569084,2024-05-15,2024-05
