Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,814.3,2024-11-18 05:30:00,816.7,799.25,2024-11,811.0,9322451,2024-11-18,2024-11
BAJFINANCE,6567.95,2024-11-18 05:30:00,6657.0,6555.0,2024-11,6633.0,596535,2024-11-18,2024-11
TITAN,3172.3,2024-11-18 05:30:00,3207.2,3157.5,2024-11,3183.7,943251,2024-11-18,2024-11
ITC,466.55,2024-11-18 05:30:00,467.8,462.0,2024-11,466.0,8135260,2024-11-18,2024-11
TCS,4019.5,2024-11-18 05:30:00,4213.0,3990.2,2024-11,4213.0,3313944,2024-11-18,2024-11
LT,3542.15,2024-11-18 05:30:00,3568.3,3510.85,2024-11,3521.1,1233217,2024-11-18,2024-11
TATACONSUM,930.75,2024-11-18 05:30:00,942.5,916.0,2024-11,929.8,2193819,2024-11-18,2024-11
RELIANCE,1260.75,2024-11-18 05:30:00,1272.9,1243.9,2024-11,1267.6,13620611,2024-11-18,2024-11
HCLTECH,1835.0,2024-11-18 05:30:00,1865.05,1815.0,2024-11,1858.95,2483933,2024-11-18,2024-11
JSWSTEEL,949.85,2024-11-18 05:30:00,956.05,934.9,2024-11,935.05,1143965,2024-11-18,2024-11
ULTRACEMCO,10630.9,2024-11-18 05:30:00,10766.85,10580.4,2024-11,10632.1,424186,2024-11-18,2024-11
POWERGRID,312.05,2024-11-18 05:30:00,315.55,310.1,2024-11,314.0,9408101,2024-11-18,2024-11
INFY,1811.45,2024-11-18 05:30:00,1849.2,1795.0,2024-11,1849.2,4839244,2024-11-18,2024-11
TRENT,6301.65,2024-11-18 05:30:00,6453.0,6275.0,2024-11,6411.6,828906,2024-11-18,2024-11
BHARTIARTL,1537.0,2024-11-18 05:30:00,1568.95,1529.45,2024-11,1568.95,4816078,2024-11-18,2024-11
TATAMOTORS,771.9,2024-11-18 05:30:00,781.75,759.2,2024-11,778.0,17053446,2024-11-18,2024-11
WIPRO,552.85,2024-11-18 05:30:00,566.7,540.3,2024-11,566.7,7644882,2024-11-18,2024-11
TECHM,1660.8,2024-11-18 05:30:00,1688.0,1633.25,2024-11,1684.75,1617013,2024-11-18,2024-11
NTPC,366.7,2024-11-18 05:30:00,380.0,362.65,2024-11,380.0,16383636,2024-11-18,2024-11
HINDUNILVR,2422.9,2024-11-18 05:30:00,2425.0,2375.75,2024-11,2401.15,1374215,2024-11-18,2024-11
APOLLOHOSP,6741.9,2024-11-18 05:30:00,6874.45,6694.55,2024-11,6874.45,268706,2024-11-18,2024-11
M&M,2846.9,2024-11-18 05:30:00,2874.7,2800.05,2024-11,2844.0,2405351,2024-11-18,2024-11
GRASIM,2517.15,2024-11-18 05:30:00,2552.8,2479.05,2024-11,2497.0,1436348,2024-11-18,2024-11
ICICIBANK,1253.45,2024-11-18 05:30:00,1262.6,1249.4,2024-11,1260.0,6195554,2024-11-18,2024-11
ADANIENT,2818.7,2024-11-18 05:30:00,2858.65,2793.3,2024-11,2826.8,489692,2024-11-18,2024-11
ADANIPORTS,1279.3,2024-11-18 05:30:00,1288.9,1261.3,2024-11,1264.0,1445637,2024-11-18,2024-11
BEL,278.05,2024-11-18 05:30:00,286.7,277.25,2024-11,283.0,13000137,2024-11-18,2024-11
BAJAJFINSV,1616.0,2024-11-18 05:30:00,1641.95,1610.0,2024-11,1634.0,1618700,2024-11-18,2024-11
EICHERMOT,4875.65,2024-11-18 05:30:00,4914.0,4863.0,2024-11,4879.95,494329,2024-11-18,2024-11
