Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,759.3,2024-04-04 05:30:00,775.3,758.1,2024-04,775.0,15889530,2024-04-04,2024-04
BAJFINANCE,7283.4,2024-04-04 05:30:00,7350.0,7255.0,2024-04,7345.0,1040589,2024-04-04,2024-04
TITAN,3782.75,2024-04-04 05:30:00,3792.3,3679.0,2024-04,3740.0,1177617,2024-04-04,2024-04
ITC,422.75,2024-04-04 05:30:00,427.35,419.9,2024-04,425.55,18358410,2024-04-04,2024-04
TCS,4003.3,2024-04-04 05:30:00,4028.65,3935.25,2024-04,3975.9,3394637,2024-04-04,2024-04
LT,3797.85,2024-04-04 05:30:00,3819.75,3731.05,2024-04,3804.9,2339529,2024-04-04,2024-04
TATACONSUM,1104.22,2024-04-04 05:30:00,1118.99,1094.94,2024-04,1118.89,2374099,2024-04-04,2024-04
RELIANCE,1462.93,2024-04-04 05:30:00,1479.75,1450.0,2024-04,1479.75,14490272,2024-04-04,2024-04
HCLTECH,1539.65,2024-04-04 05:30:00,1552.5,1518.7,2024-04,1540.8,3388449,2024-04-04,2024-04
JSWSTEEL,862.5,2024-04-04 05:30:00,878.65,853.55,2024-04,876.3,2790334,2024-04-04,2024-04
ULTRACEMCO,10005.1,2024-04-04 05:30:00,10078.9,9900.0,2024-04,10078.0,346378,2024-04-04,2024-04
POWERGRID,277.65,2024-04-04 05:30:00,286.7,275.05,2024-04,282.8,23722104,2024-04-04,2024-04
INFY,1486.7,2024-04-04 05:30:00,1495.65,1468.0,2024-04,1490.55,11186915,2024-04-04,2024-04
TRENT,4003.2,2024-04-04 05:30:00,4028.95,3915.05,2024-04,3950.0,910922,2024-04-04,2024-04
BHARTIARTL,1206.85,2024-04-04 05:30:00,1233.0,1201.3,2024-04,1231.95,7327626,2024-04-04,2024-04
TATAMOTORS,1011.6,2024-04-04 05:30:00,1017.0,998.15,2024-04,1016.0,9138276,2024-04-04,2024-04
WIPRO,487.4,2024-04-04 05:30:00,491.95,479.6,2024-04,485.8,8002023,2024-04-04,2024-04
TECHM,1279.25,2024-04-04 05:30:00,1289.0,1246.9,2024-04,1260.0,2460669,2024-04-04,2024-04
NTPC,354.65,2024-04-04 05:30:00,362.7,352.65,2024-04,355.0,28962927,2024-04-04,2024-04
HINDUNILVR,2264.95,2024-04-04 05:30:00,2282.0,2249.25,2024-04,2270.0,1890255,2024-04-04,2024-04
APOLLOHOSP,6440.6,2024-04-04 05:30:00,6475.0,6326.4,2024-04,6425.0,547885,2024-04-04,2024-04
M&M,2002.7,2024-04-04 05:30:00,2015.0,1963.2,2024-04,1999.0,3007920,2024-04-04,2024-04
GRASIM,2277.85,2024-04-04 05:30:00,2323.75,2249.5,2024-04,2309.5,814966,2024-04-04,2024-04
ICICIBANK,1078.85,2024-04-04 05:30:00,1085.8,1063.45,2024-04,1084.75,21419689,2024-04-04,2024-04
ADANIENT,3210.8,2024-04-04 05:30:00,3273.0,3201.7,2024-04,3250.0,1403826,2024-04-04,2024-04
ADANIPORTS,1366.85,2024-04-04 05:30:00,1408.6,1362.25,2024-04,1408.6,4197697,2024-04-04,2024-04
BEL,220.3,2024-04-04 05:30:00,223.9,218.25,2024-04,223.5,18279026,2024-04-04,2024-04
