Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,863.9,2024-07-23 05:30:00,884.5,849.1,2024-07,883.0,18279212,2024-07-23,2024-07
BAJFINANCE,6727.1,2024-07-23 05:30:00,6944.85,6620.0,2024-07,6934.0,1932212,2024-07-23,2024-07
TITAN,3466.85,2024-07-23 05:30:00,3490.0,3232.15,2024-07,3255.1,7159507,2024-07-23,2024-07
ITC,492.2,2024-07-23 05:30:00,497.4,466.4,2024-07,466.55,54044423,2024-07-23,2024-07
TCS,4302.35,2024-07-23 05:30:00,4361.7,4266.3,2024-07,4283.0,2365208,2024-07-23,2024-07
LT,3538.05,2024-07-23 05:30:00,3714.0,3460.0,2024-07,3669.6,6957691,2024-07-23,2024-07
TATACONSUM,1241.47,2024-07-23 05:30:00,1247.1,1185.51,2024-07,1200.08,5077190,2024-07-23,2024-07
RELIANCE,1487.9,2024-07-23 05:30:00,1505.75,1463.0,2024-07,1501.0,18052044,2024-07-23,2024-07
HCLTECH,1598.35,2024-07-23 05:30:00,1600.8,1551.1,2024-07,1574.0,2907674,2024-07-23,2024-07
JSWSTEEL,893.95,2024-07-23 05:30:00,896.15,872.0,2024-07,890.0,1640412,2024-07-23,2024-07
ULTRACEMCO,11545.8,2024-07-23 05:30:00,11735.4,11329.1,2024-07,11649.95,525157,2024-07-23,2024-07
POWERGRID,334.25,2024-07-23 05:30:00,340.5,321.1,2024-07,339.1,15954324,2024-07-23,2024-07
INFY,1836.9,2024-07-23 05:30:00,1839.95,1783.25,2024-07,1810.0,7113056,2024-07-23,2024-07
TRENT,5263.8,2024-07-23 05:30:00,5310.25,4955.65,2024-07,5210.2,763626,2024-07-23,2024-07
BHARTIARTL,1465.7,2024-07-23 05:30:00,1470.0,1428.45,2024-07,1470.0,2936143,2024-07-23,2024-07
TATAMOTORS,1001.8,2024-07-23 05:30:00,1008.65,967.2,2024-07,1007.9,10384177,2024-07-23,2024-07
WIPRO,500.55,2024-07-23 05:30:00,508.0,486.35,2024-07,508.0,12923816,2024-07-23,2024-07
TECHM,1493.4,2024-07-23 05:30:00,1502.7,1460.0,2024-07,1491.0,1640492,2024-07-23,2024-07
NTPC,382.45,2024-07-23 05:30:00,385.65,361.55,2024-07,376.7,49882257,2024-07-23,2024-07
HINDUNILVR,2766.35,2024-07-23 05:30:00,2811.3,2732.0,2024-07,2746.0,3906259,2024-07-23,2024-07
APOLLOHOSP,6403.6,2024-07-23 05:30:00,6474.4,6324.8,2024-07,6404.0,284679,2024-07-23,2024-07
M&M,2821.35,2024-07-23 05:30:00,2854.5,2743.4,2024-07,2824.0,2572524,2024-07-23,2024-07
GRASIM,2823.05,2024-07-23 05:30:00,2850.95,2774.05,2024-07,2811.0,1046046,2024-07-23,2024-07
ICICIBANK,1226.75,2024-07-23 05:30:00,1248.65,1212.5,2024-07,1241.15,19369832,2024-07-23,2024-07
ADANIENT,2995.35,2024-07-23 05:30:00,3038.0,2886.35,2024-07,3020.0,1443331,2024-07-23,2024-07
ADANIPORTS,1507.35,2024-07-23 05:30:00,1517.0,1419.0,2024-07,1468.0,5987213,2024-07-23,2024-07
BEL,301.45,2024-07-23 05:30:00,317.0,281.1,2024-07,317.0,76513131,2024-07-23,2024-07
BAJAJFINSV,1618.85,2024-07-23 05:30:00,1647.95,1599.45,2024-07,1635.0,2718846,2024-07-23,2024-07
EICHERMOT,4919.55,2024-07-23 05:30:00,4975.0,4785.95,2024-07,4857.05,1128441,2024-07-23,2024-07
COALINDIA,487.0,2024-07-23 05:30:00,495.8,464.55,2024-07,494.0,11311831,2024-07-23,2024-07
MARUTI,12629.05,2024-07-23 05:30:00,12734.95,12360.0,2024-07,12720.0,332258,2024-07-23,2024-07
INDUSINDBK,1413.2,2024-07-23 05:30:00,1427.0,1395.65,2024-07,1422.5,3054925,2024-07-23,2024-07
ASIANPAINT,2897.1,2024-07-23 05:30:00,2947.3,2886.0,2024-07,2934.3,1906312,2024-07-23,2024-07
TATASTEEL,160.02,2024-07-23 05:30:00,161.97,155.0,2024-07,161.6,37077411,2024-07-23,2024-07
