Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,798.25,2024-09-24 05:30:00,804.25,796.5,2024-09,799.25,15180653,2024-09-24,2024-09
BAJFINANCE,7554.2,2024-09-24 05:30:00,7603.45,7483.9,2024-09,7597.0,1069540,2024-09-24,2024-09
TITAN,3784.9,2024-09-24 05:30:00,3839.9,3781.55,2024-09,3818.0,1281513,2024-09-24,2024-09
ITC,515.25,2024-09-24 05:30:00,517.8,514.15,2024-09,517.0,6755320,2024-09-24,2024-09
TCS,4271.3,2024-09-24 05:30:00,4291.0,4240.0,2024-09,4251.65,3012026,2024-09-24,2024-09
LT,3791.6,2024-09-24 05:30:00,3831.8,3775.0,2024-09,3787.7,2676546,2024-09-24,2024-09
TATACONSUM,1211.65,2024-09-24 05:30:00,1227.9,1210.05,2024-09,1216.0,3393528,2024-09-24,2024-09
RELIANCE,1489.38,2024-09-24 05:30:00,1500.5,1487.88,2024-09,1488.5,17137444,2024-09-24,2024-09
HCLTECH,1775.6,2024-09-24 05:30:00,1783.5,1738.35,2024-09,1750.0,1907389,2024-09-24,2024-09
JSWSTEEL,989.7,2024-09-24 05:30:00,1009.8,985.15,2024-09,991.3,5545642,2024-09-24,2024-09
ULTRACEMCO,11761.65,2024-09-24 05:30:00,11969.85,11740.35,2024-09,11948.1,242038,2024-09-24,2024-09
POWERGRID,350.05,2024-09-24 05:30:00,351.0,342.35,2024-09,344.55,26145769,2024-09-24,2024-09
INFY,1898.6,2024-09-24 05:30:00,1910.9,1871.4,2024-09,1888.0,7277616,2024-09-24,2024-09
TRENT,7621.35,2024-09-24 05:30:00,7682.0,7580.6,2024-09,7639.95,613798,2024-09-24,2024-09
BHARTIARTL,1756.65,2024-09-24 05:30:00,1767.55,1746.1,2024-09,1752.0,7579205,2024-09-24,2024-09
TATAMOTORS,977.3,2024-09-24 05:30:00,985.0,972.6,2024-09,974.0,12755422,2024-09-24,2024-09
WIPRO,539.55,2024-09-24 05:30:00,541.9,529.35,2024-09,532.2,6177847,2024-09-24,2024-09
TECHM,1637.1,2024-09-24 05:30:00,1643.5,1598.1,2024-09,1601.55,1781972,2024-09-24,2024-09
NTPC,428.1,2024-09-24 05:30:00,431.45,427.0,2024-09,431.45,12539885,2024-09-24,2024-09
HINDUNILVR,2950.55,2024-09-24 05:30:00,3020.0,2946.1,2024-09,3020.0,1929308,2024-09-24,2024-09
APOLLOHOSP,7122.0,2024-09-24 05:30:00,7200.0,7076.2,2024-09,7076.2,333949,2024-09-24,2024-09
M&M,3074.3,2024-09-24 05:30:00,3098.55,3020.0,2024-09,3020.0,3697722,2024-09-24,2024-09
GRASIM,2619.3,2024-09-24 05:30:00,2695.0,2610.0,2024-09,2676.35,1457923,2024-09-24,2024-09
ICICIBANK,1318.6,2024-09-24 05:30:00,1331.4,1315.45,2024-09,1321.0,13886037,2024-09-24,2024-09
ADANIENT,3093.9,2024-09-24 05:30:00,3101.0,3040.25,2024-09,3055.0,1021918,2024-09-24,2024-09
ADANIPORTS,1456.65,2024-09-24 05:30:00,1465.85,1447.0,2024-09,1456.15,1537307,2024-09-24,2024-09
BEL,291.8,2024-09-24 05:30:00,293.4,284.55,2024-09,286.3,25346532,2024-09-24,2024-09
BAJAJFINSV,1904.65,2024-09-24 05:30:00,1923.6,1898.35,2024-09,1920.0,1461016,2024-09-24,2024-09
EICHERMOT,4876.9,2024-09-24 05:30:00,4894.95,4855.0,2024-09,4887.5,481696,2024-09-24,2024-09
COALINDIA,504.3,2024-09-24 05:30:00,506.65,501.55,2024-09,505.0,7306001,2024-09-24,2024-09
MARUTI,12738.6,2024-09-24 05:30:00,12778.95,12583.1,2024-09,12583.1,425916,2024-09-24,2024-09
INDUSINDBK,1448.3,2024-09-24 05:30:00,1474.1,1446.0,2024-09,1470.1,3893140,2024-09-24,2024-09
ASIANPAINT,3248.4,2024-09-24 05:30:00,3297.75,3241.1,2024-09,3277.45,1057933,2024-09-24,2024-09
TATASTEEL,160.53,2024-09-24 05:30:00,161.5,154.85,2024-09,155.15,137414352,2024-09-24,2024-09
HDFCLIFE,720.7,2024-09-24 05:30:00,728.95,715.15,2024-09,727.5,3212859,2024-09-24,2024-09
DRREDDY,1330.07,2024-09-24 05:30:00,1337.98,1316.04,2024-09,1330.89,1962100,2024-09-24,2024-09
SUNPHARMA,1868.1,2024-09-24 05:30:00,1880.65,1856.0,2024-09,1856.0,2528953,2024-09-24,2024-09
KOTAKBANK,1914.7,2024-09-24 05:30:00,1938.6,1909.6,2024-09,1935.0,3709386,2024-09-24,2024-09
