Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,815.55,2024-08-21 05:30:00,821.0,811.2,2024-08,820.3,14607257,2024-08-21,2024-08
BAJFINANCE,6735.35,2024-08-21 05:30:00,6747.3,6695.0,2024-08,6721.95,633111,2024-08-21,2024-08
TITAN,3560.4,2024-08-21 05:30:00,3582.0,3454.55,2024-08,3474.9,1990034,2024-08-21,2024-08
ITC,505.4,2024-08-21 05:30:00,509.0,499.05,2024-08,500.0,8474830,2024-08-21,2024-08
TCS,4551.5,2024-08-21 05:30:00,4560.0,4492.55,2024-08,4518.0,1896990,2024-08-21,2024-08
LT,3596.05,2024-08-21 05:30:00,3615.3,3581.9,2024-08,3590.0,1714248,2024-08-21,2024-08
TATACONSUM,1177.55,2024-08-21 05:30:00,1181.0,1167.05,2024-08,1171.95,802420,2024-08-21,2024-08
RELIANCE,1498.68,2024-08-21 05:30:00,1507.88,1490.0,2024-08,1493.25,7769996,2024-08-21,2024-08
HCLTECH,1677.25,2024-08-21 05:30:00,1688.85,1673.75,2024-08,1686.0,1410370,2024-08-21,2024-08
JSWSTEEL,925.8,2024-08-21 05:30:00,927.0,908.1,2024-08,910.0,1600466,2024-08-21,2024-08
ULTRACEMCO,11200.9,2024-08-21 05:30:00,11312.55,11161.55,2024-08,11274.0,456794,2024-08-21,2024-08
POWERGRID,336.65,2024-08-21 05:30:00,340.95,336.15,2024-08,340.0,10118601,2024-08-21,2024-08
INFY,1872.7,2024-08-21 05:30:00,1879.0,1867.1,2024-08,1875.1,1966902,2024-08-21,2024-08
TRENT,6783.2,2024-08-21 05:30:00,6825.0,6740.0,2024-08,6800.0,651691,2024-08-21,2024-08
BHARTIARTL,1463.45,2024-08-21 05:30:00,1466.6,1447.7,2024-08,1453.0,6175510,2024-08-21,2024-08
TATAMOTORS,1085.2,2024-08-21 05:30:00,1095.3,1083.3,2024-08,1089.0,4869876,2024-08-21,2024-08
WIPRO,526.35,2024-08-21 05:30:00,528.1,521.05,2024-08,523.4,3227201,2024-08-21,2024-08
TECHM,1604.65,2024-08-21 05:30:00,1628.0,1602.0,2024-08,1616.0,1935929,2024-08-21,2024-08
NTPC,408.95,2024-08-21 05:30:00,409.7,405.2,2024-08,407.5,9726854,2024-08-21,2024-08
HINDUNILVR,2791.2,2024-08-21 05:30:00,2795.1,2742.95,2024-08,2749.5,1417729,2024-08-21,2024-08
APOLLOHOSP,6752.45,2024-08-21 05:30:00,6788.5,6627.1,2024-08,6675.0,291296,2024-08-21,2024-08
M&M,2769.4,2024-08-21 05:30:00,2780.95,2755.0,2024-08,2774.0,1497501,2024-08-21,2024-08
GRASIM,2684.85,2024-08-21 05:30:00,2692.05,2625.15,2024-08,2640.05,857604,2024-08-21,2024-08
ICICIBANK,1174.85,2024-08-21 05:30:00,1178.65,1165.1,2024-08,1177.0,17234142,2024-08-21,2024-08
ADANIENT,3115.7,2024-08-21 05:30:00,3153.3,3068.4,2024-08,3070.65,1379240,2024-08-21,2024-08
ADANIPORTS,1503.5,2024-08-21 05:30:00,1517.0,1492.55,2024-08,1499.1,1551436,2024-08-21,2024-08
BEL,305.4,2024-08-21 05:30:00,306.75,302.55,2024-08,303.0,11862616,2024-08-21,2024-08
BAJAJFINSV,1620.95,2024-08-21 05:30:00,1628.8,1599.95,2024-08,1600.0,1966030,2024-08-21,2024-08
EICHERMOT,4913.55,2024-08-21 05:30:00,4925.0,4867.0,2024-08,4890.0,221438,2024-08-21,2024-08
COALINDIA,532.2,2024-08-21 05:30:00,535.25,524.4,2024-08,526.5,9067794,2024-08-21,2024-08
MARUTI,12220.95,2024-08-21 05:30:00,12248.95,12177.05,2024-08,12214.95,295984,2024-08-21,2024-08
INDUSINDBK,1384.0,2024-08-21 05:30:00,1387.35,1366.4,2024-08,1380.0,5441231,2024-08-21,2024-08
ASIANPAINT,3151.55,2024-08-21 05:30:00,3170.6,3084.05,2024-08,3101.0,1186536,2024-08-21,2024-08
TATASTEEL,151.92,2024-08-21 05:30:00,154.18,151.77,2024-08,153.0,49749381,2024-08-21,2024-08
HDFCLIFE,724.55,2024-08-21 05:30:00,727.6,708.65,2024-08,714.35,6186935,2024-08-21,2024-08
DRREDDY,1412.49,2024-08-21 05:30:00,1421.49,1393.07,2024-08,1399.98,1905585,2024-08-21,2024-08
SUNPHARMA,1764.65,2024-08-21 05:30:00,1771.95,1757.3,2024-08,1770.0,1184193,2024-08-21,2024-08
KOTAKBANK,1812.95,2024-08-21 05:30:00,1817.0,1787.35,2024-08,1800.0,5717190,2024-08-21,2024-08
SHRIRAMFIN,3159.05,2024-08-21 05:30:00,3190.0,3116.85,2024-08,3139.95,1045406,2024-08-21,2024-08
NESTLEIND,2551.75,2024-08-21 05:30:00,2555.0,2521.65,2024-08,2529.9,624773,2024-08-21,2024-08
ONGC,327.7,2024-08-21 05:30:00,331.5,326.5,2024-08,330.65,11835143,2024-08-21,2024-08
CIPLA,1594.6,2024-08-21 05:30:00,1596.15,1561.0,2024-08,1565.65,1074905,2024-08-21,2024-08
BPCL,351.2,2024-08-21 05:30:00,355.6,348.15,2024-08,349.35,14795459,2024-08-21,2024-08
BRITANNIA,5837.35,2024-08-21 05:30:00,5849.9,5756.5,2024-08,5773.8,169215,2024-08-21,2024-08
SBILIFE,1800.6,2024-08-21 05:30:00,1804.45,1750.9,2024-08,1761.3,2972530,2024-08-21,2024-08
HINDALCO,685.6,2024-08-21 05:30:00,696.6,667.8,2024-08,668.9,7815238,2024-08-21,2024-08
HEROMOTOCO,5284.7,2024-08-21 05:30:00,5305.2,5215.0,2024-08,5244.4,612911,2024-08-21,2024-08
AXISBANK,1174.4,2024-08-21 05:30:00,1178.0,1161.5,2024-08,1166.6,9480630,2024-08-21,2024-08
HDFCBANK,1625.8,2024-08-21 05:30:00,1634.55,1617.8,2024-08,1628.1,23815452,2024-08-21,2024-08
BAJAJ-AUTO,9852.0,2024-08-21 05:30:00,9869.0,9735.0,2024-08,9779.1,134985,2024-08-21,2024-08
