Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,818.2,2024-05-14 05:30:00,822.4,807.9,2024-05,813.0,10912462,2024-05-14,2024-05
BAJFINANCE,6675.7,2024-05-14 05:30:00,6741.85,6657.6,2024-05,6710.0,755840,2024-05-14,2024-05
TITAN,3288.9,2024-05-14 05:30:00,3308.0,3250.0,2024-05,3250.0,620163,2024-05-14,2024-05
ITC,429.7,2024-05-14 05:30:00,433.3,428.55,2024-05,430.5,11000103,2024-05-14,2024-05
TCS,3901.2,2024-05-14 05:30:00,3945.8,3892.9,2024-05,3936.0,1058317,2024-05-14,2024-05
LT,3379.45,2024-05-14 05:30:00,3384.9,3293.4,2024-05,3300.0,2870328,2024-05-14,2024-05
TATACONSUM,1072.12,2024-05-14 05:30:00,1084.91,1068.91,2024-05,1082.54,1180289,2024-05-14,2024-05
RELIANCE,1420.08,2024-05-14 05:30:00,1427.08,1400.03,2024-05,1400.98,7188300,2024-05-14,2024-05
HCLTECH,1321.05,2024-05-14 05:30:00,1326.95,1308.7,2024-05,1322.0,3200462,2024-05-14,2024-05
JSWSTEEL,881.5,2024-05-14 05:30:00,884.95,861.2,2024-05,864.15,2706050,2024-05-14,2024-05
ULTRACEMCO,9660.65,2024-05-14 05:30:00,9699.5,9529.95,2024-05,9535.05,171935,2024-05-14,2024-05
POWERGRID,309.25,2024-05-14 05:30:00,313.0,307.75,2024-05,308.0,9957875,2024-05-14,2024-05
INFY,1424.7,2024-05-14 05:30:00,1433.75,1418.05,2024-05,1426.4,3463230,2024-05-14,2024-05
TRENT,4540.35,2024-05-14 05:30:00,4549.0,4448.3,2024-05,4471.0,559577,2024-05-14,2024-05
BHARTIARTL,1284.3,2024-05-14 05:30:00,1299.9,1280.7,2024-05,1290.55,3262908,2024-05-14,2024-05
TATAMOTORS,964.65,2024-05-14 05:30:00,968.0,953.25,2024-05,965.1,16325689,2024-05-14,2024-05
WIPRO,456.35,2024-05-14 05:30:00,459.9,452.2,2024-05,452.7,2454710,2024-05-14,2024-05
TECHM,1275.5,2024-05-14 05:30:00,1284.0,1254.1,2024-05,1263.95,1386032,2024-05-14,2024-05
NTPC,355.8,2024-05-14 05:30:00,357.25,350.3,2024-05,350.55,10891985,2024-05-14,2024-05
HINDUNILVR,2349.6,2024-05-14 05:30:00,2372.3,2346.75,2024-05,2360.6,689430,2024-05-14,2024-05
APOLLOHOSP,5862.8,2024-05-14 05:30:00,5894.65,5740.0,2024-05,5855.0,558136,2024-05-14,2024-05
