Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,565.2,2023-10-30 05:30:00,566.7,556.5,2023-10,563.0,8593704,2023-10-30,2023-10
BAJFINANCE,7503.05,2023-10-30 05:30:00,7526.85,7352.5,2023-10,7505.8,799276,2023-10-30,2023-10
TITAN,3116.45,2023-10-30 05:30:00,3121.95,3075.0,2023-10,3105.0,802316,2023-10-30,2023-10
ITC,430.45,2023-10-30 05:30:00,437.15,428.35,2023-10,434.55,7618033,2023-10-30,2023-10
TCS,3378.55,2023-10-30 05:30:00,3382.85,3333.75,2023-10,3350.0,910972,2023-10-30,2023-10
LT,2926.35,2023-10-30 05:30:00,2932.0,2856.15,2023-10,2899.2,1693052,2023-10-30,2023-10
TATACONSUM,882.58,2023-10-30 05:30:00,885.0,869.39,2023-10,875.12,1133453,2023-10-30,2023-10
RELIANCE,1156.25,2023-10-30 05:30:00,1162.5,1134.97,2023-10,1137.0,16813304,2023-10-30,2023-10
HCLTECH,1264.75,2023-10-30 05:30:00,1274.8,1256.0,2023-10,1270.0,1158770,2023-10-30,2023-10
JSWSTEEL,734.5,2023-10-30 05:30:00,736.8,726.0,2023-10,734.8,1162173,2023-10-30,2023-10
ULTRACEMCO,8401.6,2023-10-30 05:30:00,8416.3,8197.45,2023-10,8242.0,244073,2023-10-30,2023-10
POWERGRID,200.85,2023-10-30 05:30:00,202.2,197.65,2023-10,200.95,7679981,2023-10-30,2023-10
INFY,1377.05,2023-10-30 05:30:00,1380.35,1363.1,2023-10,1380.35,2667696,2023-10-30,2023-10
TRENT,2119.75,2023-10-30 05:30:00,2143.2,2072.0,2023-10,2143.2,483782,2023-10-30,2023-10
BHARTIARTL,926.25,2023-10-30 05:30:00,931.95,910.35,2023-10,914.8,3686773,2023-10-30,2023-10
TATAMOTORS,628.5,2023-10-30 05:30:00,643.8,621.85,2023-10,643.8,12786883,2023-10-30,2023-10
WIPRO,382.0,2023-10-30 05:30:00,384.35,380.4,2023-10,384.0,2344372,2023-10-30,2023-10
TECHM,1126.9,2023-10-30 05:30:00,1138.9,1115.5,2023-10,1120.55,2255915,2023-10-30,2023-10
NTPC,234.6,2023-10-30 05:30:00,238.4,230.65,2023-10,237.45,8812268,2023-10-30,2023-10
HINDUNILVR,2478.9,2023-10-30 05:30:00,2492.0,2462.4,2023-10,2471.0,875135,2023-10-30,2023-10
APOLLOHOSP,4841.75,2023-10-30 05:30:00,4868.4,4783.05,2023-10,4840.0,234759,2023-10-30,2023-10
M&M,1497.8,2023-10-30 05:30:00,1515.45,1463.2,2023-10,1502.1,2637486,2023-10-30,2023-10
GRASIM,1871.36,2023-10-30 05:30:00,1874.85,1820.81,2023-10,1848.65,510462,2023-10-30,2023-10
ICICIBANK,924.9,2023-10-30 05:30:00,926.3,908.2,2023-10,909.1,7687791,2023-10-30,2023-10
ADANIENT,2299.1,2023-10-30 05:30:00,2305.0,2250.0,2023-10,2260.05,996448,2023-10-30,2023-10
ADANIPORTS,785.0,2023-10-30 05:30:00,794.4,779.8,2023-10,785.9,3522068,2023-10-30,2023-10
BEL,131.95,2023-10-30 05:30:00,133.95,130.8,2023-10,133.5,9052085,2023-10-30,2023-10
BAJAJFINSV,1561.1,2023-10-30 05:30:00,1571.1,1528.0,2023-10,1568.9,850025,2023-10-30,2023-10
EICHERMOT,3357.65,2023-10-30 05:30:00,3426.0,3336.2,2023-10,3403.0,257392,2023-10-30,2023-10
COALINDIA,314.55,2023-10-30 05:30:00,315.8,311.95,2023-10,315.0,6229982,2023-10-30,2023-10
MARUTI,10397.7,2023-10-30 05:30:00,10700.0,10245.0,2023-10,10700.0,991168,2023-10-30,2023-10
INDUSINDBK,1454.65,2023-10-30 05:30:00,1460.9,1428.0,2023-10,1440.0,2255111,2023-10-30,2023-10
ASIANPAINT,2967.1,2023-10-30 05:30:00,2991.95,2939.1,2023-10,2974.0,878885,2023-10-30,2023-10
TATASTEEL,119.15,2023-10-30 05:30:00,121.25,118.95,2023-10,121.05,18753217,2023-10-30,2023-10
HDFCLIFE,607.6,2023-10-30 05:30:00,618.0,600.75,2023-10,609.8,1882245,2023-10-30,2023-10
DRREDDY,1069.07,2023-10-30 05:30:00,1078.79,1041.11,2023-10,1078.79,2691600,2023-10-30,2023-10
SUNPHARMA,1115.2,2023-10-30 05:30:00,1119.95,1103.85,2023-10,1115.7,1078813,2023-10-30,2023-10
KOTAKBANK,1717.5,2023-10-30 05:30:00,1720.9,1688.4,2023-10,1702.0,1511563,2023-10-30,2023-10
SHRIRAMFIN,1892.2,2023-10-30 05:30:00,1935.2,1865.25,2023-10,1935.0,2037598,2023-10-30,2023-10
NESTLEIND,2417.17,2023-10-30 05:30:00,2425.0,2386.51,2023-10,2410.0,726140,2023-10-30,2023-10
ONGC,188.8,2023-10-30 05:30:00,189.2,184.6,2023-10,185.0,7352638,2023-10-30,2023-10
CIPLA,1193.45,2023-10-30 05:30:00,1212.4,1177.5,2023-10,1186.0,2853500,2023-10-30,2023-10
