Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,723.8,2024-03-19 05:30:00,734.35,721.15,2024-03,730.0,15205043,2024-03-19,2024-03
BAJFINANCE,6596.25,2024-03-19 05:30:00,6667.2,6505.0,2024-03,6509.7,1408087,2024-03-19,2024-03
TITAN,3583.4,2024-03-19 05:30:00,3606.65,3547.05,2024-03,3579.0,554444,2024-03-19,2024-03
ITC,409.55,2024-03-19 05:30:00,419.55,408.7,2024-03,418.0,20994563,2024-03-19,2024-03
TCS,3977.3,2024-03-19 05:30:00,4058.0,3966.6,2024-03,4051.25,8931209,2024-03-19,2024-03
LT,3501.7,2024-03-19 05:30:00,3549.5,3481.0,2024-03,3541.0,1447405,2024-03-19,2024-03
TATACONSUM,1132.18,2024-03-19 05:30:00,1170.35,1125.86,2024-03,1170.35,2125882,2024-03-19,2024-03
RELIANCE,1425.25,2024-03-19 05:30:00,1437.6,1417.25,2024-03,1428.75,8275764,2024-03-19,2024-03
HCLTECH,1599.15,2024-03-19 05:30:00,1641.55,1594.1,2024-03,1641.55,1915379,2024-03-19,2024-03
JSWSTEEL,801.05,2024-03-19 05:30:00,809.95,793.75,2024-03,802.0,2192986,2024-03-19,2024-03
ULTRACEMCO,9453.25,2024-03-19 05:30:00,9607.45,9435.15,2024-03,9591.35,316008,2024-03-19,2024-03
POWERGRID,259.0,2024-03-19 05:30:00,266.5,258.3,2024-03,262.15,20031514,2024-03-19,2024-03
INFY,1561.45,2024-03-19 05:30:00,1599.0,1558.0,2024-03,1592.35,6870411,2024-03-19,2024-03
TRENT,3955.65,2024-03-19 05:30:00,4088.0,3943.7,2024-03,4080.0,489357,2024-03-19,2024-03
BHARTIARTL,1228.35,2024-03-19 05:30:00,1240.4,1214.6,2024-03,1216.2,7703719,2024-03-19,2024-03
TATAMOTORS,957.75,2024-03-19 05:30:00,970.6,951.6,2024-03,968.55,9483750,2024-03-19,2024-03
WIPRO,494.85,2024-03-19 05:30:00,509.0,493.15,2024-03,509.0,4808693,2024-03-19,2024-03
TECHM,1252.25,2024-03-19 05:30:00,1272.65,1248.9,2024-03,1270.0,1243420,2024-03-19,2024-03
NTPC,313.45,2024-03-19 05:30:00,317.9,310.1,2024-03,314.3,13388060,2024-03-19,2024-03
HINDUNILVR,2266.95,2024-03-19 05:30:00,2303.9,2246.85,2024-03,2283.25,4220638,2024-03-19,2024-03
APOLLOHOSP,6113.2,2024-03-19 05:30:00,6125.7,6034.05,2024-03,6077.0,542392,2024-03-19,2024-03
M&M,1843.9,2024-03-19 05:30:00,1865.0,1826.8,2024-03,1856.05,2189225,2024-03-19,2024-03
GRASIM,2173.8,2024-03-19 05:30:00,2206.1,2163.85,2024-03,2199.0,660181,2024-03-19,2024-03
ICICIBANK,1083.95,2024-03-19 05:30:00,1088.75,1075.25,2024-03,1078.45,16708715,2024-03-19,2024-03
ADANIENT,3052.7,2024-03-19 05:30:00,3164.8,3041.85,2024-03,3126.0,1460452,2024-03-19,2024-03
ADANIPORTS,1241.2,2024-03-19 05:30:00,1272.85,1237.25,2024-03,1271.05,2311324,2024-03-19,2024-03
BEL,185.4,2024-03-19 05:30:00,192.45,184.55,2024-03,190.0,27819341,2024-03-19,2024-03
BAJAJFINSV,1581.5,2024-03-19 05:30:00,1590.0,1551.1,2024-03,1574.05,1385006,2024-03-19,2024-03
EICHERMOT,3716.85,2024-03-19 05:30:00,3730.0,3672.0,2024-03,3699.7,559402,2024-03-19,2024-03
COALINDIA,419.05,2024-03-19 05:30:00,424.6,414.0,2024-03,417.0,8373676,2024-03-19,2024-03
MARUTI,11597.05,2024-03-19 05:30:00,11679.95,11456.15,2024-03,11542.1,409259,2024-03-19,2024-03
INDUSINDBK,1434.1,2024-03-19 05:30:00,1482.95,1430.85,2024-03,1476.05,3180412,2024-03-19,2024-03
ASIANPAINT,2815.1,2024-03-19 05:30:00,2840.0,2801.0,2024-03,2840.0,1199135,2024-03-19,2024-03
TATASTEEL,148.75,2024-03-19 05:30:00,152.45,147.6,2024-03,149.0,105004268,2024-03-19,2024-03
HDFCLIFE,632.5,2024-03-19 05:30:00,636.5,623.35,2024-03,634.0,3861068,2024-03-19,2024-03
DRREDDY,1226.98,2024-03-19 05:30:00,1267.0,1224.69,2024-03,1267.0,1581835,2024-03-19,2024-03
SUNPHARMA,1548.45,2024-03-19 05:30:00,1579.75,1540.4,2024-03,1574.0,3692624,2024-03-19,2024-03
KOTAKBANK,1749.65,2024-03-19 05:30:00,1756.9,1730.55,2024-03,1734.85,4481075,2024-03-19,2024-03
SHRIRAMFIN,2287.0,2024-03-19 05:30:00,2342.9,2277.55,2024-03,2323.0,1323965,2024-03-19,2024-03
NESTLEIND,2496.05,2024-03-19 05:30:00,2584.75,2468.15,2024-03,2580.0,1748864,2024-03-19,2024-03
ONGC,259.25,2024-03-19 05:30:00,263.95,256.65,2024-03,262.0,8758348,2024-03-19,2024-03
CIPLA,1435.7,2024-03-19 05:30:00,1486.8,1431.1,2024-03,1482.55,1647925,2024-03-19,2024-03
BPCL,278.85,2024-03-19 05:30:00,290.43,278.2,2024-03,290.0,21665634,2024-03-19,2024-03
BRITANNIA,4816.95,2024-03-19 05:30:00,4999.95,4800.0,2024-03,4999.0,265081,2024-03-19,2024-03
SBILIFE,1461.35,2024-03-19 05:30:00,1488.95,1456.3,2024-03,1480.0,1010444,2024-03-19,2024-03
HINDALCO,533.65,2024-03-19 05:30:00,539.75,529.25,2024-03,532.0,7119131,2024-03-19,2024-03
HEROMOTOCO,4541.75,2024-03-19 05:30:00,4597.6,4509.6,2024-03,4554.0,388757,2024-03-19,2024-03
AXISBANK,1050.8,2024-03-19 05:30:00,1060.95,1046.7,2024-03,1055.55,6728886,2024-03-19,2024-03
HDFCBANK,1449.35,2024-03-19 05:30:00,1452.4,1435.5,2024-03,1435.5,18091797,2024-03-19,2024-03
BAJAJ-AUTO,8640.2,2024-03-19 05:30:00,8687.9,8442.55,2024-03,8500.0,673456,2024-03-19,2024-03
