Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,843.75,2024-06-20 05:30:00,853.1,842.35,2024-06,853.0,13985352,2024-06-20,2024-06
BAJFINANCE,7207.1,2024-06-20 05:30:00,7264.9,7111.0,2024-06,7220.0,900158,2024-06-20,2024-06
TITAN,3435.95,2024-06-20 05:30:00,3490.0,3418.1,2024-06,3474.0,2377432,2024-06-20,2024-06
ITC,423.3,2024-06-20 05:30:00,426.5,421.5,2024-06,424.05,14585806,2024-06-20,2024-06
TCS,3787.25,2024-06-20 05:30:00,3809.95,3780.05,2024-06,3796.0,2846526,2024-06-20,2024-06
LT,3594.45,2024-06-20 05:30:00,3613.3,3564.6,2024-06,3584.95,2618715,2024-06-20,2024-06
TATACONSUM,1089.71,2024-06-20 05:30:00,1094.74,1082.64,2024-06,1094.45,1208847,2024-06-20,2024-06
RELIANCE,1473.7,2024-06-20 05:30:00,1482.85,1450.1,2024-06,1459.0,16113776,2024-06-20,2024-06
HCLTECH,1443.45,2024-06-20 05:30:00,1448.95,1429.55,2024-06,1448.95,3163919,2024-06-20,2024-06
JSWSTEEL,929.65,2024-06-20 05:30:00,938.0,911.3,2024-06,914.95,3120339,2024-06-20,2024-06
ULTRACEMCO,10903.2,2024-06-20 05:30:00,11173.9,10875.4,2024-06,11008.9,445369,2024-06-20,2024-06
POWERGRID,324.55,2024-06-20 05:30:00,328.3,322.3,2024-06,327.5,11749507,2024-06-20,2024-06
INFY,1515.4,2024-06-20 05:30:00,1517.5,1499.1,2024-06,1516.3,7927010,2024-06-20,2024-06
TRENT,5337.15,2024-06-20 05:30:00,5422.0,5305.05,2024-06,5374.9,516737,2024-06-20,2024-06
BHARTIARTL,1381.15,2024-06-20 05:30:00,1406.95,1376.25,2024-06,1405.95,8742855,2024-06-20,2024-06
TATAMOTORS,978.25,2024-06-20 05:30:00,988.4,976.35,2024-06,980.0,7299571,2024-06-20,2024-06
WIPRO,490.4,2024-06-20 05:30:00,497.5,488.25,2024-06,497.5,6285563,2024-06-20,2024-06
TECHM,1393.1,2024-06-20 05:30:00,1399.0,1371.45,2024-06,1386.0,1987190,2024-06-20,2024-06
NTPC,357.65,2024-06-20 05:30:00,364.9,357.05,2024-06,362.5,14338604,2024-06-20,2024-06
HINDUNILVR,2482.2,2024-06-20 05:30:00,2490.0,2446.65,2024-06,2457.0,2163310,2024-06-20,2024-06
APOLLOHOSP,6175.85,2024-06-20 05:30:00,6193.7,6115.75,2024-06,6165.7,252844,2024-06-20,2024-06
M&M,2871.2,2024-06-20 05:30:00,2954.75,2857.3,2024-06,2945.05,4024418,2024-06-20,2024-06
GRASIM,2498.8,2024-06-20 05:30:00,2504.0,2432.5,2024-06,2447.1,1008266,2024-06-20,2024-06
ICICIBANK,1156.8,2024-06-20 05:30:00,1160.0,1135.5,2024-06,1154.05,15475933,2024-06-20,2024-06
ADANIENT,3259.45,2024-06-20 05:30:00,3315.0,3240.0,2024-06,3263.9,1366545,2024-06-20,2024-06
ADANIPORTS,1469.4,2024-06-20 05:30:00,1476.8,1444.1,2024-06,1459.3,4905603,2024-06-20,2024-06
BEL,311.9,2024-06-20 05:30:00,313.35,302.25,2024-06,309.8,39505506,2024-06-20,2024-06
BAJAJFINSV,1586.0,2024-06-20 05:30:00,1595.0,1573.1,2024-06,1592.5,1649421,2024-06-20,2024-06
EICHERMOT,4876.9,2024-06-20 05:30:00,4924.9,4843.05,2024-06,4885.35,637364,2024-06-20,2024-06
COALINDIA,483.15,2024-06-20 05:30:00,487.4,471.55,2024-06,481.05,7864157,2024-06-20,2024-06
MARUTI,12149.5,2024-06-20 05:30:00,12305.5,12135.0,2024-06,12246.0,907751,2024-06-20,2024-06
INDUSINDBK,1527.85,2024-06-20 05:30:00,1540.75,1513.0,2024-06,1536.0,3589441,2024-06-20,2024-06
ASIANPAINT,2915.5,2024-06-20 05:30:00,2924.5,2872.4,2024-06,2885.0,1129752,2024-06-20,2024-06
TATASTEEL,182.28,2024-06-20 05:30:00,182.95,179.37,2024-06,181.6,38837494,2024-06-20,2024-06
HDFCLIFE,590.1,2024-06-20 05:30:00,597.5,582.7,2024-06,596.2,6133067,2024-06-20,2024-06
DRREDDY,1194.16,2024-06-20 05:30:00,1199.2,1177.6,2024-06,1185.0,2489735,2024-06-20,2024-06
SUNPHARMA,1471.0,2024-06-20 05:30:00,1487.95,1467.0,2024-06,1487.95,4168375,2024-06-20,2024-06
KOTAKBANK,1766.25,2024-06-20 05:30:00,1789.85,1760.3,2024-06,1765.0,9243104,2024-06-20,2024-06
SHRIRAMFIN,2805.2,2024-06-20 05:30:00,2854.5,2764.75,2024-06,2804.55,1389762,2024-06-20,2024-06
NESTLEIND,2539.75,2024-06-20 05:30:00,2551.15,2500.0,2024-06,2525.0,657413,2024-06-20,2024-06
ONGC,271.85,2024-06-20 05:30:00,274.0,269.1,2024-06,271.8,12826509,2024-06-20,2024-06
CIPLA,1544.85,2024-06-20 05:30:00,1559.15,1540.0,2024-06,1558.0,1705002,2024-06-20,2024-06
BPCL,313.13,2024-06-20 05:30:00,314.4,306.4,2024-06,310.0,18076646,2024-06-20,2024-06
BRITANNIA,5378.45,2024-06-20 05:30:00,5400.0,5319.0,2024-06,5360.65,296418,2024-06-20,2024-06
SBILIFE,1455.5,2024-06-20 05:30:00,1480.9,1451.45,2024-06,1476.0,1444553,2024-06-20,2024-06
HINDALCO,676.5,2024-06-20 05:30:00,684.35,661.75,2024-06,665.0,6646966,2024-06-20,2024-06
HEROMOTOCO,5504.6,2024-06-20 05:30:00,5669.0,5496.0,2024-06,5669.0,840321,2024-06-20,2024-06
AXISBANK,1239.5,2024-06-20 05:30:00,1241.5,1220.4,2024-06,1230.1,8206858,2024-06-20,2024-06
HDFCBANK,1669.35,2024-06-20 05:30:00,1681.45,1652.0,2024-06,1669.8,20704371,2024-06-20,2024-06
BAJAJ-AUTO,9632.0,2024-06-20 05:30:00,9735.9,9565.0,2024-06,9692.0,324597,2024-06-20,2024-06
