Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,581.35,2023-11-13 05:30:00,582.5,575.2,2023-11,581.0,11282362,2023-11-13,2023-11
BAJFINANCE,7360.85,2023-11-13 05:30:00,7450.0,7319.0,2023-11,7447.8,732240,2023-11-13,2023-11
TITAN,3264.75,2023-11-13 05:30:00,3278.35,3250.6,2023-11,3275.0,275538,2023-11-13,2023-11
ITC,436.0,2023-11-13 05:30:00,438.4,435.0,2023-11,438.4,3744754,2023-11-13,2023-11
TCS,3331.55,2023-11-13 05:30:00,3356.0,3327.0,2023-11,3356.0,1030990,2023-11-13,2023-11
LT,3048.5,2023-11-13 05:30:00,3054.35,3031.65,2023-11,3050.0,531769,2023-11-13,2023-11
TATACONSUM,905.3,2023-11-13 05:30:00,909.15,895.96,2023-11,902.78,893778,2023-11-13,2023-11
RELIANCE,1157.3,2023-11-13 05:30:00,1162.3,1155.85,2023-11,1161.45,3854810,2023-11-13,2023-11
HCLTECH,1261.0,2023-11-13 05:30:00,1263.6,1253.3,2023-11,1260.0,730991,2023-11-13,2023-11
JSWSTEEL,761.1,2023-11-13 05:30:00,763.25,753.0,2023-11,756.55,942603,2023-11-13,2023-11
ULTRACEMCO,8677.4,2023-11-13 05:30:00,8723.8,8660.0,2023-11,8711.1,64412,2023-11-13,2023-11
POWERGRID,212.3,2023-11-13 05:30:00,215.1,210.7,2023-11,212.0,11352269,2023-11-13,2023-11
INFY,1373.55,2023-11-13 05:30:00,1382.45,1370.85,2023-11,1379.85,3462092,2023-11-13,2023-11
TRENT,2559.05,2023-11-13 05:30:00,2564.0,2485.35,2023-11,2495.0,1131761,2023-11-13,2023-11
BHARTIARTL,935.0,2023-11-13 05:30:00,940.3,933.8,2023-11,938.0,1656368,2023-11-13,2023-11
TATAMOTORS,653.25,2023-11-13 05:30:00,654.0,649.3,2023-11,653.0,3279829,2023-11-13,2023-11
WIPRO,381.65,2023-11-13 05:30:00,382.9,380.0,2023-11,382.6,1792951,2023-11-13,2023-11
TECHM,1131.35,2023-11-13 05:30:00,1142.15,1128.0,2023-11,1140.6,435537,2023-11-13,2023-11
NTPC,245.7,2023-11-13 05:30:00,250.6,243.3,2023-11,244.95,18792969,2023-11-13,2023-11
HINDUNILVR,2478.15,2023-11-13 05:30:00,2487.2,2471.0,2023-11,2477.2,760809,2023-11-13,2023-11
APOLLOHOSP,5220.65,2023-11-13 05:30:00,5279.0,5200.2,2023-11,5250.0,150128,2023-11-13,2023-11
M&M,1540.25,2023-11-13 05:30:00,1543.3,1513.05,2023-11,1526.25,1968032,2023-11-13,2023-11
GRASIM,1921.21,2023-11-13 05:30:00,1938.19,1914.39,2023-11,1938.19,212493,2023-11-13,2023-11
ICICIBANK,934.45,2023-11-13 05:30:00,940.9,932.0,2023-11,940.9,11470096,2023-11-13,2023-11
ADANIENT,2213.65,2023-11-13 05:30:00,2241.9,2195.55,2023-11,2215.5,853633,2023-11-13,2023-11
ADANIPORTS,809.85,2023-11-13 05:30:00,828.0,807.5,2023-11,810.0,1050882,2023-11-13,2023-11
