Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,633.6,2024-01-12 05:30:00,636.5,621.1,2024-01,623.8,16620797,2024-01-12,2024-01
BAJFINANCE,7661.05,2024-01-12 05:30:00,7718.95,7617.0,2024-01,7684.0,808638,2024-01-12,2024-01
TITAN,3726.0,2024-01-12 05:30:00,3734.3,3647.95,2024-01,3700.0,990582,2024-01-12,2024-01
ITC,466.7,2024-01-12 05:30:00,467.7,460.35,2024-01,463.25,9354326,2024-01-12,2024-01
TCS,3882.8,2024-01-12 05:30:00,3905.25,3821.6,2024-01,3848.0,6813450,2024-01-12,2024-01
LT,3568.8,2024-01-12 05:30:00,3578.65,3494.05,2024-01,3505.05,1782631,2024-01-12,2024-01
TATACONSUM,1144.77,2024-01-12 05:30:00,1151.24,1110.05,2024-01,1111.63,5944396,2024-01-12,2024-01
RELIANCE,1370.73,2024-01-12 05:30:00,1373.33,1345.75,2024-01,1359.9,15012164,2024-01-12,2024-01
HCLTECH,1540.8,2024-01-12 05:30:00,1555.0,1498.5,2024-01,1505.0,5862043,2024-01-12,2024-01
JSWSTEEL,825.8,2024-01-12 05:30:00,830.8,821.25,2024-01,824.5,1326357,2024-01-12,2024-01
ULTRACEMCO,9808.45,2024-01-12 05:30:00,9979.95,9794.05,2024-01,9979.95,376816,2024-01-12,2024-01
POWERGRID,239.5,2024-01-12 05:30:00,242.65,238.8,2024-01,242.5,11296498,2024-01-12,2024-01
INFY,1612.75,2024-01-12 05:30:00,1618.0,1555.4,2024-01,1562.0,26754401,2024-01-12,2024-01
TRENT,3212.15,2024-01-12 05:30:00,3240.95,3162.1,2024-01,3203.0,597455,2024-01-12,2024-01
BHARTIARTL,1076.35,2024-01-12 05:30:00,1078.55,1051.6,2024-01,1058.1,3394013,2024-01-12,2024-01
TATAMOTORS,816.45,2024-01-12 05:30:00,818.55,809.15,2024-01,818.15,7664094,2024-01-12,2024-01
WIPRO,465.45,2024-01-12 05:30:00,469.0,455.0,2024-01,455.0,18043367,2024-01-12,2024-01
TECHM,1308.05,2024-01-12 05:30:00,1311.75,1267.0,2024-01,1271.8,5023455,2024-01-12,2024-01
NTPC,312.65,2024-01-12 05:30:00,315.3,309.7,2024-01,315.2,12341629,2024-01-12,2024-01
HINDUNILVR,2544.0,2024-01-12 05:30:00,2555.0,2511.85,2024-01,2533.5,2979841,2024-01-12,2024-01
APOLLOHOSP,5795.7,2024-01-12 05:30:00,5922.0,5742.85,2024-01,5870.0,250919,2024-01-12,2024-01
M&M,1624.45,2024-01-12 05:30:00,1633.85,1601.5,2024-01,1630.0,3061539,2024-01-12,2024-01
GRASIM,2111.55,2024-01-12 05:30:00,2120.9,2075.0,2024-01,2083.0,485644,2024-01-12,2024-01
ICICIBANK,1003.5,2024-01-12 05:30:00,1008.7,991.75,2024-01,994.8,12255743,2024-01-12,2024-01
ADANIENT,3104.1,2024-01-12 05:30:00,3125.0,3068.2,2024-01,3096.35,1795933,2024-01-12,2024-01
ADANIPORTS,1207.1,2024-01-12 05:30:00,1218.75,1201.05,2024-01,1210.4,3912779,2024-01-12,2024-01
BEL,183.5,2024-01-12 05:30:00,185.5,183.1,2024-01,185.35,8853157,2024-01-12,2024-01
BAJAJFINSV,1651.9,2024-01-12 05:30:00,1674.95,1642.0,2024-01,1670.25,1314964,2024-01-12,2024-01
EICHERMOT,3870.85,2024-01-12 05:30:00,3899.0,3850.0,2024-01,3890.2,220410,2024-01-12,2024-01
COALINDIA,381.1,2024-01-12 05:30:00,385.8,379.55,2024-01,385.8,7471050,2024-01-12,2024-01
MARUTI,9965.65,2024-01-12 05:30:00,10045.0,9935.95,2024-01,10025.0,850190,2024-01-12,2024-01
INDUSINDBK,1674.0,2024-01-12 05:30:00,1677.85,1647.4,2024-01,1657.85,2161848,2024-01-12,2024-01
ASIANPAINT,3277.8,2024-01-12 05:30:00,3294.95,3244.0,2024-01,3294.95,673004,2024-01-12,2024-01
TATASTEEL,135.3,2024-01-12 05:30:00,136.25,134.65,2024-01,135.8,32883921,2024-01-12,2024-01
HDFCLIFE,637.6,2024-01-12 05:30:00,648.6,621.3,2024-01,646.85,7076942,2024-01-12,2024-01
DRREDDY,1137.77,2024-01-12 05:30:00,1146.97,1129.21,2024-01,1146.97,1385710,2024-01-12,2024-01
SUNPHARMA,1325.95,2024-01-12 05:30:00,1330.0,1305.55,2024-01,1319.0,1538242,2024-01-12,2024-01
KOTAKBANK,1833.25,2024-01-12 05:30:00,1842.55,1814.4,2024-01,1825.0,2172621,2024-01-12,2024-01
SHRIRAMFIN,2292.8,2024-01-12 05:30:00,2303.1,2260.1,2024-01,2292.8,1037456,2024-01-12,2024-01
NESTLEIND,2549.6,2024-01-12 05:30:00,2559.95,2530.0,2024-01,2557.2,1107055,2024-01-12,2024-01
ONGC,223.4,2024-01-12 05:30:00,224.75,212.35,2024-01,213.8,39228118,2024-01-12,2024-01
CIPLA,1308.0,2024-01-12 05:30:00,1325.65,1300.4,2024-01,1324.2,2051301,2024-01-12,2024-01
BPCL,229.13,2024-01-12 05:30:00,230.55,227.55,2024-01,229.5,11990812,2024-01-12,2024-01
BRITANNIA,5151.1,2024-01-12 05:30:00,5250.4,5100.05,2024-01,5149.0,462298,2024-01-12,2024-01
SBILIFE,1435.3,2024-01-12 05:30:00,1440.9,1418.5,2024-01,1434.8,557158,2024-01-12,2024-01
HINDALCO,582.05,2024-01-12 05:30:00,585.5,575.75,2024-01,581.0,2440863,2024-01-12,2024-01
HEROMOTOCO,4383.15,2024-01-12 05:30:00,4395.0,4242.65,2024-01,4242.65,905401,2024-01-12,2024-01
AXISBANK,1120.35,2024-01-12 05:30:00,1129.45,1118.05,2024-01,1126.35,5616755,2024-01-12,2024-01
HDFCBANK,1641.2,2024-01-12 05:30:00,1656.0,1633.6,2024-01,1652.0,9886776,2024-01-12,2024-01
BAJAJ-AUTO,7301.95,2024-01-12 05:30:00,7360.95,7252.0,2024-01,7360.0,434753,2024-01-12,2024-01
