ticker,date,open,high,low,close,volume,month,prev_close,daily_return,sector
ADANIENT,2023-10-03,2418.0,2424.9,2372.0,2387.25,2019899,2023-10,,,MISCELLANEOUS
ADANIENT,2023-10-04,2402.2,2502.75,2392.25,2464.95,2857377,2023-10,2387.25,0.03254791,MISCELLANEOUS
ADANIENT,2023-10-05,2477.95,2486.5,2446.4,2466.35,1132455,2023-10,2464.95,0.0005679628,MISCELLANEOUS
ADANIENT,2023-10-06,2466.35,2514.95,2466.05,2478.1,1510035,2023-10,2466.35,0.004764125,MISCELLANEOUS
ADANIENT,2023-10-09,2440.0,2459.7,2411.3,2442.6,1408224,2023-10,2478.1,-0.014325491,MISCELLANEOUS
ADANIENT,2023-10-10,2443.0,2517.95,2443.0,2498.3,1771910,2023-10,2442.6,0.02280357,MISCELLANEOUS
ADANIENT,2023-10-11,2533.9,2538.0,2482.5,2488.6,1627836,2023-10,2498.3,-0.0038826403,MISCELLANEOUS
ADANIENT,2023-10-12,2499.9,2521.75,2490.65,2506.35,1804818,2023-10,2488.6,0.007132524,MISCELLANEOUS
ADANIENT,2023-10-13,2488.9,2495.0,2422.35,2454.55,2278682,2023-10,2506.35,-0.020667505,MISCELLANEOUS
ADANIENT,2023-10-16,2454.55,2464.7,2421.85,2429.35,803856,2023-10,2454.55,-0.010266648,MISCELLANEOUS
ADANIENT,2023-10-17,2459.95,2462.0,2423.5,2428.4,707543,2023-10,2429.35,-0.00039105112,MISCELLANEOUS
ADANIENT,2023-10-18,2440.0,2441.75,2401.05,2406.35,776977,2023-10,2428.4,-0.009080052,MISCELLANEOUS
ADANIENT,2023-10-19,2400.0,2414.7,2382.55,2402.2,1168822,2023-10,2406.35,-0.0017246037,MISCELLANEOUS
ADANIENT,2023-10-20,2398.05,2443.95,2382.05,2393.75,1240350,2023-10,2402.2,-0.0035176089,MISCELLANEOUS
ADANIENT,2023-10-23,2397.8,2412.35,2301.8,2308.65,1483549,2023-10,2393.75,-0.035550915,MISCELLANEOUS
ADANIENT,2023-10-25,2320.0,2348.05,2235.3,2257.0,1540819,2023-10,2308.65,-0.022372382,MISCELLANEOUS
ADANIENT,2023-10-26,2249.0,2249.0,2167.05,2203.2,2226073,2023-10,2257.0,-0.023836952,MISCELLANEOUS
ADANIENT,2023-10-27,2222.0,2275.0,2212.0,2261.7,1244293,2023-10,2203.2,0.026552288,MISCELLANEOUS
ADANIENT,2023-10-30,2260.05,2305.0,2250.0,2299.1,996448,2023-10,2261.7,0.016536234,MISCELLANEOUS
ADANIENT,2023-10-31,2320.0,2320.0,2276.0,2294.65,1155280,2023-10,2299.1,-0.00193554,MISCELLANEOUS
ADANIENT,2023-11-01,2299.0,2312.25,2207.0,2217.3,1666579,2023-11,2294.65,-0.033708844,MISCELLANEOUS
ADANIENT,2023-11-02,2247.0,2297.95,2204.2,2215.3,2340997,2023-11,2217.3,-0.0009019979,MISCELLANEOUS
ADANIENT,2023-11-03,2215.3,2279.0,2215.0,2229.85,1853300,2023-11,2215.3,0.006567959,MISCELLANEOUS
ADANIENT,2023-11-06,2253.95,2260.0,2233.0,2246.0,770061,2023-11,2229.85,0.0072426395,MISCELLANEOUS
ADANIENT,2023-11-07,2257.0,2260.0,2226.65,2233.35,641554,2023-11,2246.0,-0.005632235,MISCELLANEOUS
ADANIENT,2023-11-08,2245.3,2298.0,2235.0,2259.95,1169180,2023-11,2233.35,0.011910358,MISCELLANEOUS
ADANIENT,2023-11-09,2269.0,2272.6,2210.1,2214.65,1267890,2023-11,2259.95,-0.020044692,MISCELLANEOUS
